"row.names","game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","base","reviewDetails.isOverturned.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y","reviewDetails.isOverturned","reviewDetails.reviewType","reviewDetails.challengeTeamId","season"
"16",502128.0,"2017-03-31",0,"2017-03-31T02:32:54.000Z","2017-03-31T02:32:58.000Z",true,pitch,"05021286-0686-0013-000c-f08cd117d70a",1,Called Strike,,,,,false,C,"rgba(170, 21, 11, 1.0)",false,true,false,C,Strike - Called,0,1,,,,3.359,1.7,,125.21,98.74,,,,,,,,,,,,,,"67",atBat,Strikeout,strikeout,Luke Voit called out on strikes.,0,9,3,67,bottom,8,"2017-03-31T02:30:07.000Z","2017-03-31T02:33:06.000Z",true,false,false,true,14,0,3,3,572228,Luke Voit,/api/v1/people/572228,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"17",502128.0,"2017-03-31",2,"2017-03-31T02:30:04.000Z","2017-03-31T02:30:05.000Z",true,pitch,"05021286-0676-0033-000c-f08cd117d70a",3,Swinging Strike,,,,,false,S,"rgba(170, 21, 11, 1.0)",false,true,false,S,Strike - Swinging,0,3,,,,3.359,1.7,,84.27,77.96,,,,,,,,,,,,,,"66",atBat,Strikeout,strikeout,Tommy Pham strikes out swinging.,0,9,3,66,bottom,8,"2017-03-31T02:28:28.000Z","2017-03-31T02:30:05.000Z",true,false,false,true,14,0,3,2,502054,Tommy Pham,/api/v1/people/502054,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"18",502128.0,"2017-03-31",1,"2017-03-31T02:30:01.000Z","2017-03-31T02:30:04.000Z",true,pitch,"05021286-0676-0023-000c-f08cd117d70a",2,Swinging Strike,,,,,false,S,"rgba(170, 21, 11, 1.0)",false,true,false,S,Strike - Swinging,0,2,,,,3.359,1.7,,122.93,109.14,,,,,,,,,,,,,,"66",atBat,Strikeout,strikeout,Tommy Pham strikes out swinging.,0,9,3,66,bottom,8,"2017-03-31T02:28:28.000Z","2017-03-31T02:30:05.000Z",true,false,false,true,14,0,3,2,502054,Tommy Pham,/api/v1/people/502054,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"19",502128.0,"2017-03-31",0,"2017-03-31T02:29:57.000Z","2017-03-31T02:30:01.000Z",true,pitch,"05021286-0676-0013-000c-f08cd117d70a",1,Swinging Strike,,,,,false,S,"rgba(170, 21, 11, 1.0)",false,true,false,S,Strike - Swinging,0,1,,,,3.359,1.7,,115.54,97.52,,,,,,,,,,,,,,"66",atBat,Strikeout,strikeout,Tommy Pham strikes out swinging.,0,9,3,66,bottom,8,"2017-03-31T02:28:28.000Z","2017-03-31T02:30:05.000Z",true,false,false,true,14,0,3,2,502054,Tommy Pham,/api/v1/people/502054,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"20",502128.0,"2017-03-31",0,"2017-03-31T02:28:23.000Z","2017-03-31T02:28:27.000Z",true,pitch,"05021286-0666-0013-000c-f08cd117d70a",1,"In play, run(s)",,,,,false,E,"rgba(26, 86, 190, 1.0)",true,false,false,E,Hit Into Play - Run(s),0,0,,,,3.359,1.7,,109.29,85.3,fly_ball,medium,"78",65.35,43.69,,,,,,,,,"65",atBat,Home Run,home_run,Alex Mejia homers (1) on a fly ball to left center field.,1,9,3,65,bottom,8,"2017-03-31T02:27:50.000Z","2017-03-31T02:28:27.000Z",true,true,false,false,38,0,0,1,622270,Alex Mejia,/api/v1/people/622270,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"21",502128.0,"2017-03-31",3,"2017-03-31T02:27:45.000Z","2017-03-31T02:27:49.000Z",true,pitch,"05021286-0656-0043-000c-f08cd117d70a",4,"In play, run(s)",,,,,false,E,"rgba(26, 86, 190, 1.0)",true,false,false,E,Hit Into Play - Run(s),2,1,,,,3.359,1.7,,123.5,104.25,fly_ball,medium,"7",31.46,72.74,,,,,,,,,"64",atBat,Home Run,home_run,Blake Drake homers (1) on a fly ball to left field.,1,9,2,64,bottom,8,"2017-03-31T02:26:08.000Z","2017-03-31T02:27:49.000Z",true,true,false,false,38,2,1,1,656383,Blake Drake,/api/v1/people/656383,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"22",502128.0,"2017-03-31",2,"2017-03-31T02:27:41.000Z","2017-03-31T02:27:45.000Z",true,pitch,"05021286-0656-0033-000c-f08cd117d70a",3,Called Strike,,,,,false,C,"rgba(170, 21, 11, 1.0)",false,true,false,C,Strike - Called,2,1,,,,3.359,1.7,,93.93,54.73,,,,,,,,,,,,,,"64",atBat,Home Run,home_run,Blake Drake homers (1) on a fly ball to left field.,1,9,2,64,bottom,8,"2017-03-31T02:26:08.000Z","2017-03-31T02:27:49.000Z",true,true,false,false,38,2,1,1,656383,Blake Drake,/api/v1/people/656383,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"23",502128.0,"2017-03-31",1,"2017-03-31T02:27:38.000Z","2017-03-31T02:27:41.000Z",true,pitch,"05021286-0656-0023-000c-f08cd117d70a",2,Ball,,,,,false,B,"rgba(39, 161, 39, 1.0)",false,false,true,B,Ball - Called,2,0,,,,3.359,1.7,,116.68,57.18,,,,,,,,,,,,,,"64",atBat,Home Run,home_run,Blake Drake homers (1) on a fly ball to left field.,1,9,2,64,bottom,8,"2017-03-31T02:26:08.000Z","2017-03-31T02:27:49.000Z",true,true,false,false,38,2,1,1,656383,Blake Drake,/api/v1/people/656383,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"24",502128.0,"2017-03-31",0,"2017-03-31T02:27:35.000Z","2017-03-31T02:27:38.000Z",true,pitch,"05021286-0656-0013-000c-f08cd117d70a",1,Ball,,,,,false,B,"rgba(39, 161, 39, 1.0)",false,false,true,B,Ball - Called,1,0,,,,3.359,1.7,,128.05,84.07,,,,,,,,,,,,,,"64",atBat,Home Run,home_run,Blake Drake homers (1) on a fly ball to left field.,1,9,2,64,bottom,8,"2017-03-31T02:26:08.000Z","2017-03-31T02:27:49.000Z",true,true,false,false,38,2,1,1,656383,Blake Drake,/api/v1/people/656383,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"25",502128.0,"2017-03-31",1,"2017-03-31T02:26:02.000Z","2017-03-31T02:26:07.000Z",true,pitch,"05021286-0646-0013-000c-f08cd117d70a",1,"In play, out(s)",,,,,false,X,"rgba(26, 86, 190, 1.0)",true,false,false,X,Hit Into Play - Out(s),0,0,,,,3.359,1.7,,128.05,111.58,popup,medium,"4",133.73,154.43,,,,,,,,,"63",atBat,Pop Out,field_out,Breyvic Valera pops out to second baseman Greg Garcia.,0,9,1,63,bottom,8,"2017-03-31T02:22:18.000Z","2017-03-31T02:26:07.000Z",true,false,false,true,0,0,0,1,591971,Breyvic Valera,/api/v1/people/591971,L,Left,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_LHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
